Step 155. Reward: 14.284683, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.411235. Return so far: 1711.084410. Done: 0. Took 290.482794 seconds!
Step 156. Reward: 14.222915, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 900.391108. Return so far: 1725.307325. Done: 0. Took 266.155957 seconds!
Step 157. Reward: 14.251515, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 901.405510. Return so far: 1739.558840. Done: 0. Took 263.223485 seconds!
Step 158. Reward: 14.275590, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 900.347590. Return so far: 1753.834430. Done: 0. Took 263.918610 seconds!
Step 159. Reward: 14.410969, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 903.354237. Return so far: 1768.245399. Done: 0. Took 263.210645 seconds!
Step 160. Reward: 14.662301, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 905.243478. Return so far: 1782.907701. Done: 0. Took 262.481246 seconds!
Step 161. Reward: 14.679991, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 906.241811. Return so far: 1797.587692. Done: 0. Took 261.695355 seconds!
Step 162. Reward: 14.655262, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 909.540200. Return so far: 1812.242954. Done: 0. Took 260.490278 seconds!
Step 163. Reward: 14.648075, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 909.331148. Return so far: 1826.891029. Done: 0. Took 260.593698 seconds!
Step 164. Reward: 14.619543, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 909.324071. Return so far: 1841.510572. Done: 0. Took 261.498511 seconds!
Step 165. Reward: 14.620697, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 911.116571. Return so far: 1856.131269. Done: 0. Took 259.505859 seconds!
Step 166. Reward: 14.704285, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 908.757712. Return so far: 1870.835554. Done: 0. Took 259.240484 seconds!
